2020-01	方向预测	-1	明确排除继续暴跌；未来三月内相对判断日收盘的最低跌幅超过11%，即使一月末端为正，也不能冲销路径反例。
2020-02	条件与方向	0	一个月反弹明确，但之后三月再探。只能支持出清后有反弹机会，不能把“疫情总会过去”当精确底部，更不能验证“影响仅半年”。
2020-03	政策解释	不适用	原文已区分财政支持与当时是否处于牛市；后续指数上涨不能证明特别国债导致上涨。本条保留政策条件，不列作预测胜例。
2020-04	同期诊断	U	单日新闻脉冲与趋势股轮动是同期结构描述；缺逐股新闻事件与等权广度，宽基后续上涨既不能证实也不能推翻“存量”。
2020-05	收益难度判断	U	预期的是自己的后半年收益难度，缺账户记录无法评分；随后三个月指数大涨，至少不能改写成准确预测指数下跌。
2020-06	方向预测	-1	“创业板每次到此没有不跌”的绝对口径不成立：后一个月及三个月明显上涨。上证下行空间小与创业板看空必须拆开评分。
2020-07	纠错与动作	不适用	本人明说前一日预判错，减半是风险反应；此后指数反弹，不计为提前逃顶，也不能仅凭卖出后上涨断言风控不合理。
2020-08	同期结构诊断	+1（代理旁证）	此后一月中证1000相对上证50落后约5个百分点，创业板亦弱于上证，支持风格变化的价格侧面；不能据此确认“头部资金”身份。
2020-09	方向预测	0	未来三月上证相对基准最低约-2.7%，期末为正，与有限震荡相容；原文没有“大跌”阈值，不能形成严格命中样本。
2020-10	事件操作计划	不适用	ETF上市前兑现、上市后等缩量是条件交易计划；科创50后续表现只提供环境，无法确认个股实际卖出和回补。
2020-11	方向预测	-1	将创业板定为牛末熊初并称趋势持续，后一个月创业板上涨约8.9%，明显强于上证；不能事后跳到2021年下跌来救当前判断。
2020-12	同期结构诊断	0	次日作者称抱团又开始；未来一月创业板继续上涨。部分板块松动属事实候选，不能提升为全体抱团已结束。
2021-01	同期结构诊断	+1（代理旁证）	此后一月中证1000明显跑输上证50，支持指数与其他股票体验分离的价格现象；成分贡献与机构买盘仍未核验。
2021-02	条件预测	U	后续指数和创业板明显下跌，但本文当时仍说继续抱团；没有申购和持仓数据验证三个触发条件。撤回上一版将条件框架直接记+1的口径。
2021-03	结构与方向	+1（代理旁证）	一个月中证1000相对上证50更抗跌，符合小盘与旧抱团分化；不能由此推断全部底部小盘股可赚钱。
2021-04	方向预测	-1	“等待节后定向股灾”未获五月走势支持；创业板、军工后一个月上涨，三个月仍为正。抱团集合未完整定义，评分限定可比代理。
2021-05	同期结构诊断	0	原文已经区分再创新高和仍低于旧高的抱团分支；后续创业板先涨后回落，不能将这一诊断写为准确判顶。
2021-06	能力圈与动作	不适用	原文承认抱团仍强，但自己追随能力不足而防守。后续成长上涨是机会成本，不构成该能力圈规则的逻辑反例。
2021-07	条件与结构	0	次日即承认又抱回；随后一月中证1000相对上证50确实强，但小盘包含新赛道，不能把它直接等同价值高切低。
2021-08	结构与方向	0	后续一月小盘相对大盘强、上证上涨，但军工先弱后强；“全面”切换缺全市场低位组合验证，保留阶段性操作而不记全市场成功。
2021-09	方向预测	0	三个月上证大体横盘，但途中约5%下挫；未定义“巨大风险”，属于与数据相容的模糊边界，不给严格成功分。
2021-10	结构预测	U	预测板块内分化扩大，所需数据是成分股收益离散度；八个指数的分歧不能替代板块内部检验。
2021-11	结构与方向	0	两日后作者承认原赛道又修复，与“前热点都是死翘翘”抵牾；三个月后成长转弱不能抹掉中间反复。
2021-12	进攻条件	不适用	当时明说未满足进攻条件；未来三个月持续下跌说明等待有风险背景，但缺实际仓位，不换算避损收益。
2022-01	同期诊断	+1（价格旁证）	当月多个指数同步大跌，后续还出现更深回撤，支持广泛风险；不据此确认国家队或机构的具体卖出身份。
2022-02	风格判断	0	此后上证相对创业板更抗跌，但双方均下跌；上证不等于价值指数，原文的“价值黄金时间”只获相对表现弱旁证。
2022-03	条件预测	+1（指数路径）	未来三月内先再探低点，之后修复；上证相对判断日最大不利偏移约12%，期末微涨。支持二探逻辑，不证明可以准确买在最低点。
2022-04	趋势诊断	0	确认走强后仍有四月末急跌，三个月后成长、军工转正。初始确认过早与后续反弹同时保留，不能只取期末上涨。
2022-05	方向预测	+1（指数方向）	后一个月上证上涨，支持权重补涨方向；同期成长涨幅更高，不能误写为权重已持续成为最强风格。
