2020-01-23	继续暴跌	指数风险边界
2020-02-04	疫情总会过去	出清后的反弹预期
2020-03-30	特别国债	财政政策与行业条件
2020-04-15	存量行情	存量轮动
2020-05-24	下半年	后半年难度预期
2020-06-01	创业板指数	大小指数差异
2020-07-16	错	风险纠错
2020-08-16	高切低	风格切换
2020-09-07	很大的跌幅	指数震荡边界
2020-10-13	ETF	事件兑现减仓
2020-11-26	创业板指	指数风格分歧
2020-12-30	瓦解	抱团松动
2021-01-18	绑架	指数代表性
2021-02-10	继续	抱团结束条件
2021-03-03	小盘股	大小盘分化
2021-04-30	节后	节后抱团下跌
2021-05-29	新高	再抱团诊断
2021-06-01	防守	停止追随抱团
2021-07-07	高切低	高切低信号
2021-08-17	高切低	扩大低位权限
2021-09-22	巨大风险	指数风险边界
2021-10-18	板块效应	赚钱效应分化
2021-11-16	主线	超跌主线
2021-12-26	指数企稳	重新进攻条件
2022-01-27	支撑	无差别下跌
2022-02-08	价值	价值与成长切换
2022-03-21	第二次探底	政策底与市场底
2022-04-19	走强	赛道反弹确认
2022-05-21	指数开始补涨	权重补涨
2022-06-10	60日线	反弹后二探
2022-07-30	不亏钱	暂停积极交易
2022-08-25	囚徒困境	高位股风险
2022-09-22	反弹来了	反弹试探
2022-10-13	短期见底	短期底部
2022-11-07	A50	权重反弹主线
2022-12-16	赛道	资金回流赛道
2023-01-28	3400	指数上方约束
2023-02-02	小盘	大小盘分化
2023-03-18	两个方向	科技与中字头
2023-04-17	空间都不大	指数箱体
2023-05-19	抽	双主线吸血
2023-06-24	幅度	低位股风险边界
2023-07-31	券商	金融突破后的扩散
2023-08-23	连续打赢	护盘持续性
2023-09-21	满仓	深跌阶段预算
2023-10-22	指数反弹	指数左侧开仓
2023-11-28	北交所	北交所吸引资金
2023-12-07	不会再跌	指数底部
2024-01-10	2%	企稳确认条件
2024-02-22	齐涨齐跌	普反转选股
2024-03-14	宽幅震荡	反弹后风险
2024-04-15	做多	政策框架
2024-05-22	3200	慢牛箱体
2024-06-27	切换	防守转低位反弹
2024-07-31	好日子	低位股走好
2024-08-25	满仓	底部机会与仓位
2024-09-22	大行情	反转方向
2024-10-08	4000	反弹目标
2024-11-26	1000	大小指数选择
2024-12-31	回调风险	微盘风险
2025-01-02	企稳	指数破位停买
2025-02-12	25年	年度波动判断
2025-03-09	震荡	指数弱与低位机会
2025-04-01	反转之年	军工反转
2025-05-26	走弱	指数调整
2025-06-06	多头	创业板趋势
2025-07-04	创业板	成长弹性
2025-08-01	机会	调整后买入前提
2025-09-03	科技	指数科技集中
2025-10-17	没有方向	停止预测指数
2025-11-13	差不多	抱团冲击后企稳
2025-12-15	高位震荡	指数代表性下降
2026-01-27	蓝筹	低位蓝筹承接
2026-02-24	绝对位子	高位防守
2026-03-18	65%	下跌中降预算
2026-04-09	外部因素	外部冲击后的反弹
2026-05-28	瓦解	抱团瓦解预警
2026-06-22	抱团	抱团持续与支撑失效
2026-07-28	好起来	低位股修复
2026-08-18	抽	结构正常化
2026-09-01	震荡行情	新的正常化判断
